entity_name,krs,path,status,old_file_value,new_file_value
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.czyProwadziDzialalnoscZInnymiPodmiotami[0].czyProwadziDzialalnoscZInnymiPodmiotami,no_change,False,False
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.czyProwadziDzialalnoscZInnymiPodmiotami[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.daneOWczesniejszejRejestracji[0].nazwaPoprzedniegoRejestru,no_change,RHB,RHB
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.daneOWczesniejszejRejestracji[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.daneOWczesniejszejRejestracji[0].numerWPoprzednimRejestrze,no_change,51268,51268
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.daneOWczesniejszejRejestracji[0].sadProwadzacyRejestr,no_change,SĄD REJONOWY DLA M. ST. WARSZAWY SĄD GOSPODARCZY XVI WYDZIAŁ GOSPODARCZY-REJESTROWY,SĄD REJONOWY DLA M. ST. WARSZAWY SĄD GOSPODARCZY XVI WYDZIAŁ GOSPODARCZY-REJESTROWY
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.formaPrawna[0].formaPrawna,no_change,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.formaPrawna[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.identyfikatory[0].identyfikatory.regon,no_change,01274470200000,01274470200000
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.identyfikatory[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.identyfikatory[0].nrWpisuWykr,no_change,12,12
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.identyfikatory[1].identyfikatory.nip,no_change,5262076745,5262076745
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.identyfikatory[1].identyfikatory.regon,no_change,01274470200000,01274470200000
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.identyfikatory[1].nrWpisuWprow,no_change,12,12
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.nazwa[0].nazwa,no_change,AMS MANAGEMENT SYSTEMS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMS MANAGEMENT SYSTEMS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.nazwa[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.nazwa[0].nrWpisuWykr,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.nazwa[1].nazwa,no_change,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS (POLSKA) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS (POLSKA) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.danePodmiotu.nazwa[1].nrWpisuWprow,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[0].nrWpisuWykr,no_change,5,5
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[0].waluta,no_change,PLN,PLN
